ContractName,Date,OpenSharePrice,HighSharePrice,LowSharePrice,CloseSharePrice,TradeVolume
DeSantis,8/17/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Trump,8/17/2024 12:00:00 AM,$0.46,$0.46,$0.44,$0.46,28359
Biden,8/17/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,22
Harris,8/17/2024 12:00:00 AM,$0.57,$0.58,$0.57,$0.57,23553
Buttigieg,8/17/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Newsom,8/17/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Ramaswamy,8/17/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Scott,8/17/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
RFK Jr.,8/17/2024 12:00:00 AM,$0.01,$0.03,$0.01,$0.02,4827
Haley,8/17/2024 12:00:00 AM,$0.01,$0.02,$0.01,$0.02,18835
DeSantis,8/18/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Trump,8/18/2024 12:00:00 AM,$0.46,$0.46,$0.44,$0.46,27541
Biden,8/18/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,200
Harris,8/18/2024 12:00:00 AM,$0.57,$0.58,$0.56,$0.56,111337
Buttigieg,8/18/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Newsom,8/18/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,841
Ramaswamy,8/18/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Scott,8/18/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
RFK Jr.,8/18/2024 12:00:00 AM,$0.02,$0.02,$0.01,$0.02,158
Haley,8/18/2024 12:00:00 AM,$0.02,$0.02,$0.01,$0.01,1276
DeSantis,8/19/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Trump,8/19/2024 12:00:00 AM,$0.46,$0.46,$0.45,$0.46,27403
Biden,8/19/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,1729
Harris,8/19/2024 12:00:00 AM,$0.56,$0.58,$0.56,$0.56,45970
Buttigieg,8/19/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,9999
Newsom,8/19/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,2112
Ramaswamy,8/19/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Scott,8/19/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
RFK Jr.,8/19/2024 12:00:00 AM,$0.02,$0.02,$0.01,$0.02,8167
Haley,8/19/2024 12:00:00 AM,$0.01,$0.02,$0.01,$0.01,3394
DeSantis,8/20/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,20000
Trump,8/20/2024 12:00:00 AM,$0.46,$0.48,$0.45,$0.48,64958
Biden,8/20/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,1746
Harris,8/20/2024 12:00:00 AM,$0.56,$0.57,$0.56,$0.56,42502
Buttigieg,8/20/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Newsom,8/20/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Ramaswamy,8/20/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Scott,8/20/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
RFK Jr.,8/20/2024 12:00:00 AM,$0.02,$0.02,$0.01,$0.01,60420
Haley,8/20/2024 12:00:00 AM,$0.01,$0.02,$0.01,$0.01,22637
DeSantis,8/21/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Trump,8/21/2024 12:00:00 AM,$0.48,$0.51,$0.46,$0.50,84732
Biden,8/21/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,1593
Harris,8/21/2024 12:00:00 AM,$0.56,$0.57,$0.53,$0.53,85427
Buttigieg,8/21/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Newsom,8/21/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,291
Ramaswamy,8/21/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Scott,8/21/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
RFK Jr.,8/21/2024 12:00:00 AM,$0.01,$0.02,$0.01,$0.02,60338
Haley,8/21/2024 12:00:00 AM,$0.01,$0.02,$0.01,$0.01,5556
DeSantis,8/22/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,913
Trump,8/22/2024 12:00:00 AM,$0.50,$0.50,$0.48,$0.49,51657
Biden,8/22/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,1916
Harris,8/22/2024 12:00:00 AM,$0.53,$0.54,$0.52,$0.53,56539
Buttigieg,8/22/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Newsom,8/22/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Ramaswamy,8/22/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,885
Scott,8/22/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,1
RFK Jr.,8/22/2024 12:00:00 AM,$0.02,$0.02,$0.01,$0.01,61303
Haley,8/22/2024 12:00:00 AM,$0.01,$0.02,$0.01,$0.02,3160
DeSantis,8/23/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,18961
Trump,8/23/2024 12:00:00 AM,$0.49,$0.49,$0.47,$0.49,61893
Biden,8/23/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,227
Harris,8/23/2024 12:00:00 AM,$0.53,$0.56,$0.53,$0.55,53954
Buttigieg,8/23/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,1004
Newsom,8/23/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,922
Ramaswamy,8/23/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,914
Scott,8/23/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
RFK Jr.,8/23/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,2603
Haley,8/23/2024 12:00:00 AM,$0.02,$0.02,$0.01,$0.02,13697
DeSantis,8/24/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,300
Trump,8/24/2024 12:00:00 AM,$0.49,$0.49,$0.48,$0.49,18831
Biden,8/24/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,550
Harris,8/24/2024 12:00:00 AM,$0.55,$0.55,$0.54,$0.54,15783
Buttigieg,8/24/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Newsom,8/24/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Ramaswamy,8/24/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Scott,8/24/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
RFK Jr.,8/24/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,1200
Haley,8/24/2024 12:00:00 AM,$0.02,$0.02,$0.01,$0.02,38392
DeSantis,8/25/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,868
Trump,8/25/2024 12:00:00 AM,$0.49,$0.49,$0.48,$0.48,27158
Biden,8/25/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,3167
Harris,8/25/2024 12:00:00 AM,$0.54,$0.56,$0.54,$0.56,29665
Buttigieg,8/25/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,858
Newsom,8/25/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,41693
Ramaswamy,8/25/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Scott,8/25/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,858
RFK Jr.,8/25/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,4538
Haley,8/25/2024 12:00:00 AM,$0.02,$0.02,$0.01,$0.01,3582
DeSantis,8/26/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,1000
Trump,8/26/2024 12:00:00 AM,$0.48,$0.49,$0.47,$0.47,19796
Biden,8/26/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,172
Harris,8/26/2024 12:00:00 AM,$0.56,$0.56,$0.55,$0.55,25636
Buttigieg,8/26/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Newsom,8/26/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,30876
Ramaswamy,8/26/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Scott,8/26/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
RFK Jr.,8/26/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,10911
Haley,8/26/2024 12:00:00 AM,$0.01,$0.02,$0.01,$0.01,3348
DeSantis,8/27/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,5416
Trump,8/27/2024 12:00:00 AM,$0.47,$0.48,$0.47,$0.47,22846
Biden,8/27/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,403
Harris,8/27/2024 12:00:00 AM,$0.55,$0.56,$0.55,$0.56,20291
Buttigieg,8/27/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Newsom,8/27/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,25873
